Report_Period,Domestic_International,average_tons
"2021,November",International,53091.000000000000
"2021,October",International,52709.000000000000
"2022,March",International,52155.000000000000
"2021,December",International,51559.000000000000
"2021,March",International,50635.500000000000
"2021,May",International,49978.500000000000
"2022,May",International,49307.000000000000
"2021,April",International,48984.500000000000
"2020,November",International,48715.500000000000
"2022,January",International,48430.000000000000